title,abstract,year,venue,publisher,url,authors,contribution type,annotator,citation style,citation modality,citation visibility,citation term,task name,evidence level,citation frequency,multilinguality,parametric,non-parametric,prompting,pre-training,fine-tuning,task,dataset,evaluation
EWEK-QA : Enhanced Web and Efficient Knowledge Graph Retrieval for Citation-based Question Answering Systems,"The emerging citation-based QA systems are gaining more attention especially in generative AI search applications. The importance of extracted knowledge provided to these systems is vital from both accuracy (completeness of information) and efficiency (extracting the information in a timely manner). In this regard, citation-based QA systems are suffering from two shortcomings. First, they usually rely only on web as a source of extracted knowledge and adding other external knowledge sources can hamper the efficiency of the system. Second, web-retrieved contents are usually obtained by some simple heuristics such as fixed length or breakpoints which might lead to splitting information into pieces. To mitigate these issues, we propose our enhanced web and efficient knowledge graph (KG) retrieval solution (EWEK-QA) to enrich the content of the extracted knowledge fed to the system. This has been done through designing an adaptive web retriever and incorporating KGs triples in an efficient manner. We demonstrate the effectiveness of over the open-source state-of-the-art (SoTA) web-based and KG baseline models using a comprehensive set of quantitative and human evaluation experiments. Our model is able to: first, improve the web-retriever baseline in terms of extracting more relevant passages (>20%), the coverage of answer span (>25%) and self containment (>35%); second, obtain and integrate KG triples into its pipeline very efficiently (by avoiding any LLM calls) to outperform the web-only and KG-only SoTA baselines significantly in 7 quantitative QA tasks and our human evaluation.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.764,"Mohammad Dehghan, Mohammad Alomrani, Sunyam Bagga, David Alfonso-Hermelo, Khalil Bibi, Abbas Ghaddar, Yingxue Zhang, Xiaoguang Li, Jianye Hao, Qun Liu, Jimmy Lin, Boxing Chen, Prasanna Parthasarathi, Mahdi Biparva, Mehdi Rezagholizadeh",approach,A,in-line citations,"text, graph",final response,"citation, quote",citation-based question answering,paragraph,multiple,no,no,post-retrieval,"few-shot, chain-of-thought",no,no,question answering,"WebQSP, CWQ, GrailQA, SimpleQA, HotpotQA, WebQuestions, NaturalQuestions","Hits@k, Answer Span, Self-Containment, Pertinence"
"LLM-Rubric: A Multidimensional, Calibrated Approach to Automated Evaluation of Natural Language Texts","This paper introduces a framework for the automated evaluation of natural language texts. A manually constructed rubric describes how to assess multiple dimensions of interest. To evaluate a text, a large language model (LLM) is prompted with each rubric question and produces a distribution over potential responses. The LLM predictions often fail to agree well with human judges—indeed, the humans do not fully agree with one another. However, the multiple LLM distributions can be _combined_ to _predict_ each human judge’s annotations on all questions, including a summary question that assesses overall quality or relevance. LLM-Rubric accomplishes this by training a small feed-forward neural network that includes both judge-specific and judge-independent parameters. When evaluating dialogue systems in a human-AI information-seeking task, we find that LLM-Rubric with 9 questions (assessing dimensions such as naturalness, conciseness, and citation quality) predicts human judges’ assessment of overall user satisfaction, on a scale of 1–4, with RMS error < 0.5, a 2× improvement over the uncalibrated baseline.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.745,"Helia Hashemi, Jason Eisner, Corby Rosset, Benjamin Van Durme, Chris Kedzie",evaluation,A,no,text,no,citation,no,document,multiple,no,no,no,no,no,no,grounded text generation,"Hashemi-Real, Hashemi-Synthetic",LLM-Rubric
Learning to Generate Answers with Citations via Factual Consistency Models,"Large Language Models (LLMs) frequently hallucinate, impeding their reliability in mission-critical situations. One approach to address this issue is to provide citations to relevant sources alongside generated content, enhancing the verifiability of generations. However, citing passages accurately in answers remains a substantial challenge. This paper proposes a weakly-supervised fine-tuning method leveraging factual consistency models (FCMs). Our approach alternates between generating texts with citations and supervised fine-tuning with FCM-filtered citation data. Focused learning is integrated into the objective, directing the fine-tuning process to emphasise the factual unit tokens, as measured by an FCM. Results on the ALCE few-shot citation benchmark with various instruction-tuned LLMs demonstrate superior performance compared to in-context learning, vanilla supervised fine-tuning, and state-of-the-art methods, with an average improvement of 34.1, 15.5, and 10.5 citation F1 points, respectively. Moreover, in a domain transfer setting we show that the obtained citation generation ability robustly transfers to unseen datasets. Notably, our citation improvements contribute to the lowest factual error rate across baselines.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.641,"Rami Aly, Zhiqiang Tang, Samson Tan, George Karypis",approach,B,in-line citations,text,final response,citation,generating citations for retrieval-augmented long-form question answering,paragraph,multiple,no,no,post-retrieval,no,no,supervised fine-tuning,question answering,"ALCE, BIO, HAGRID","Citation Recall NLI, Citation Precision NLI, Citation F1 NLI, ROUGE-L, FActScore, EM Recall, Passage-grounded Correctness, MAUVE"
Learning to Plan and Generate Text with Citations,"The increasing demand for the deployment of LLMs in information-seeking scenarios has spurred efforts in creating verifiable systems, which generate responses to queries along with supporting evidence. In this paper, we explore the attribution capabilities of plan-based models which have been recently shown to improve the faithfulness, grounding, and controllability of generated text. We conceptualize plans as a sequence of questions which serve as blueprints of the generated content and its organization. We propose two attribution models that utilize different variants of blueprints, an abstractive model where questions are generated from scratch, and an extractive model where questions are copied from the input. Experiments on long-form question-answering show that planning consistently improves attribution quality. Moreover, the citations generated by blueprint models are more accurate compared to those obtained from LLM-based pipelines lacking a planning component.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.615,"Constanza Fierro, Reinald Kim Amplayo, Fantine Huot, Nicola De Cao, Joshua Maynez, Shashi Narayan, Mirella Lapata",approach,B,in-line citations,text,final response,"attribution, citation","attributed long-form question answering, attributed query-focused summarization",paragraph,multiple,no,no,post-retrieval,no,no,supervised fine-tuning,"question answering, summarization","AQuAMuSe, ALCE","ROUGE-L, Auto-AIS-sentence, Accuracy NLI, EM Recall, EM Precision, Claim Recall, Citation Precision NLI, Citation Recall NLI, Citation F1 NLI"
Systematic Task Exploration with LLMs: A Study in Citation Text Generation,"Large language models (LLMs) bring unprecedented flexibility in defining and executing complex, creative natural language generation (NLG) tasks. Yet, this flexibility brings new challenges, as it introduces new degrees of freedom in formulating the task inputs and instructions and in evaluating model performance. To facilitate the exploration of creative NLG tasks, we propose a three-component research framework that consists of systematic input manipulation, reference data, and output measurement. We use this framework to explore citation text generation – a popular scholarly NLP task that lacks consensus on the task definition and evaluation metric and has not yet been tackled within the LLM paradigm. Our results highlight the importance of systematically investigating both task instruction and input configuration when prompting LLMs, and reveal non-trivial relationships between different evaluation metrics used for citation text generation. Additional human generation and human evaluation experiments provide new qualitative insights into the task to guide future research in citation text generation. We make our code and data publicly available.",2024,acl,ACL,https://aclanthology.org/2024.acl-long.265,"Furkan Şahinuç, Ilia Kuznetsov, Yufang Hou, Iryna Gurevych","resource, evaluation",B,in-line citations,text,final response,citation,citation text generation,paragraph,single,no,no,in-context,"few-shot, chain-of-thought, role play",no,no,citation text generation,Sahinuç-ACLRelWork,"ROUGE-L, BERT-Score, SciBERT-Score, BLEURT, SummaC, Accuracy NLI, Paragraph Count, Citation Mark Percentage, N-Gram Overlap"
"Ask, Assess, and Refine: Rectifying Factual Consistency and Hallucination in LLMs with Metric-Guided Feedback Learning","Recent advancements in Large Language Models (LLMs) have heralded unprecedented capabilities in information-seeking and text generation, as evidenced by applications like Bing Chat and perplexity.ai. Despite these strides, challenges on hallucination and factual inconsistency continue to impede their wider real-world adoption. Contemporary methods, including retrieval-augmented LLMs and feedback-based learning, serve as alternatives to mitigate these challenges. However, challenges remain, particularly regarding referencing erroneous evidence (citation errors) and generating information not present in the evidence (hallucination). In this paper, we introduce the 𝖠2𝖱 framework: Ask, Assess, and Refine. Our approach utilizes an explicit evaluation paradigm, incorporating metrics specifically tailored to assess citation errors and hallucination, aiming to address these prevalent challenges robustly. Capitalizing on these evaluations, we devise a strategy to formulate actionable natural language feedback, enabling iterative refinements that yield improved factual consistency and reduced hallucinations in responses. Our experiments on ASQA, ELI5, and QAMPARI datasets demonstrate our method’s superiority in enhancing correctness, fluency, and citation quality.",2024,eacl,ACL,https://aclanthology.org/2024.eacl-long.149,"Dongyub Lee, Eunhwan Park, Hodong Lee, Heuiseok Lim","approach, evaluation",B,in-line citations,text,final response,citation,no,paragraph,multiple,no,no,in-context,zero-shot,no,no,question answering,ALCE,ALCE
TruthReader: Towards Trustworthy Document Assistant Chatbot with Reliable Attribution,"Document assistant chatbots are empowered with extensive capabilities by Large Language Models (LLMs) and have exhibited significant advancements. However, these systems may suffer from hallucinations that are difficult to verify in the context of given documents.Moreover, despite the emergence of products for document assistants, they either heavily rely on commercial LLM APIs or lack transparency in their technical implementations, leading to expensive usage costs and data privacy concerns. In this work, we introduce a fully open-source document assistant chatbot with reliable attribution, named TruthReader, utilizing adapted conversational retriever and LLMs. Our system enables the LLMs to generate answers with detailed inline citations, which can be attributed to the original document paragraphs, facilitating the verification of the factual consistency of the generated text. To further adapt the generative model, we develop a comprehensive pipeline consisting of data construction and model optimization processes.This pipeline equips the LLMs with the necessary capabilities to generate accurate answers, produce reliable citations, and refuse unanswerable questions. Our codebase, data and models are released, and the video demonstration of our system is available at https://youtu.be/RYVt3itzUQM.",2024,emnlp,ACL,https://aclanthology.org/2024.emnlp-demo.10,"Dongfang Li, Xinshuo Hu, Zetian Sun, Baotian Hu, Shaolin Ye, Zifei Shan, Qian Chen, Min Zhang",application,B,in-line citations,text,final response,"attribution, citation",no,document,multiple,no,no,post-retrieval,no,no,supervised fine-tuning,"summarization, question answering",RefGPT-Fact,"Answer Accuracy GPT, Citation Precision NLI, Refusal Recall"
Generation with Dynamic Vocabulary,"We introduce a new dynamic vocabulary for language models. It can involve arbitrary text spans during generation. These text spans act as basic generation bricks, akin to tokens in the traditional static vocabularies. We show that, the ability to generate multi-tokens atomically improve both generation quality and efficiency (compared to the standard language model, the MAUVE metric is increased by 25%, the latency is decreased by 20 %). The dynamic vocabulary can be deployed in a plug-and-play way, thus is attractive for various downstream applications. For example, we demonstrate that dynamic vocabulary can be applied to different domains in a training-free manner. It also helps to generate reliable citations in question answering tasks (substantially enhancing citation results without compromising answer accuracy).",2024,emnlp,ACL,https://aclanthology.org/2024.emnlp-main.1053,"Yanting Liu, Tao Ji, Changzhi Sun, Yuanbin Wu, Xiaoling Wang",approach,B,in-line citations,text,final response,citation,generation with citations,document,single,no,no,in-context,no,no,self-supervised fine-tuning,question answering,ASQA,"MAUVE, EM, EM F1, ROUGE-L, Citation Recall NLI, Citation Precision NLI, Rep-n, Diversity"
Enhancing Post-Hoc Attributions in Long Document Comprehension via Coarse Grained Answer Decomposition,"Accurately attributing answer text to its source document is crucial for developing a reliable question-answering system. However, attribution for long documents remains largely unexplored. Post-hoc attribution systems are designed to map answer text back to the source document, yet the granularity of this mapping has not been addressed. Furthermore, a critical question arises: What exactly should be attributed? This involves identifying the specific information units within an answer that require grounding. In this paper, we propose and investigate a novel approach to the factual decomposition of generated answers for attribution, employing template-based in-context learning. To accomplish this, we utilize the question and integrate negative sampling during few-shot in-context learning for decomposition. This approach enhances the semantic understanding of both abstractive and extractive answers. We examine the impact of answer decomposition by providing a thorough examination of various attribution approaches, ranging from retrieval-based techniques to LLM-based attributors.",2024,emnlp,ACL,https://aclanthology.org/2024.emnlp-main.985,"Pritika Ramu, Koustava Goswami, Apoorv Saxena, Balaji Vasan Srinivasan",approach,B,in-line citations,text,final response,attribution,no,sentence,multiple,no,no,post-generation,few-shot,no,no,question answering,"QASPER, GenSearch-Verifiability","Recall@k, Precision@k, F1@k"
Adaptive Question Answering: Enhancing Language Model Proficiency for Addressing Knowledge Conflicts with Source Citations,"Resolving knowledge conflicts is a crucial challenge in Question Answering (QA) tasks, as the internet contains numerous conflicting facts and opinions. While some research has made progress in tackling ambiguous settings where multiple valid answers exist, these approaches often neglect to provide source citations, leaving users to evaluate the factuality of each answer. On the other hand, existing work on citation generation has focused on unambiguous settings with single answers, failing to address the complexity of real-world scenarios. Despite the importance of both aspects, no prior research has combined them, leaving a significant gap in the development of QA systems. In this work, we bridge this gap by proposing the novel task of QA with source citation in ambiguous settings, where multiple valid answers exist. To facilitate research in this area, we create a comprehensive framework consisting of: (1) five novel datasets, obtained by augmenting three existing reading comprehension datasets with citation meta-data across various ambiguous settings, such as distractors and paraphrasing; (2) the first ambiguous multi-hop QA dataset featuring real-world, naturally occurring contexts; (3) two new metrics to evaluate models’ performances; and (4) several strong baselines using rule-based, prompting, and finetuning approaches over five large language models. We hope that this new task, datasets, metrics, and baselines will inspire the community to push the boundaries of QA research and develop more trustworthy and interpretable systems.",2024,emnlp,ACL,https://aclanthology.org/2024.emnlp-main.956,"Sagi Shaier, Ari Kobren, Philip V. Ogren","resource, evaluation",B,narrative citations,text,final response,citation,citation generation,document,multiple,no,no,in-context,"zero-shot, few-shot, chain-of-thought",no,supervised fine-tuning,question answering,"AmbigQA-Cite,
DisentQA-DupliCite,
DisentQA-ParaCite,
Conflicting HotPotQA-Cite","Acc_K, A_C"
Summary of a Haystack: A Challenge to Long-Context LLMs and RAG Systems,"LLMs and RAG systems are now capable of handling millions of input tokens or more. However, evaluating the output quality of such systems on long-context tasks remains challenging, as tasks like Needle-in-a-Haystack lack complexity. In this work, we argue that summarization can play a central role in such evaluation. We design a procedure to synthesize Haystacks of documents, ensuring that specific insights repeat across documents. The “Summary of a Haystack” (SummHay) task then requires a system to process the Haystack and generate, given a query, a summary that identifies the relevant insights and precisely cites the source documents. Since we have precise knowledge of what insights should appear in a haystack summary and what documents should be cited, we implement a highly reproducible automatic evaluation that can score summaries on two aspects – Coverage and Citation. We generate Haystacks in two domains (conversation, news), and perform a large-scale evaluation of 10 LLMs and corresponding 50 RAG systems. Our findings indicate that SummHay is an open challenge for current systems, as even systems provided with an Oracle signal of document relevance lag our estimate of human performance (56%) by 10+ points on a Joint Score. Without a retriever, long-context LLMs like GPT-4o and Claude 3 Opus score below 20% on SummHay. We show SummHay can also be used to study enterprise RAG systems and position bias in long-context models. We hope future systems can equal and surpass human performance on SummHay.",2024,emnlp,ACL,https://aclanthology.org/2024.emnlp-main.552,"Philippe Laban, Alexander Fabbri, Caiming Xiong, Chien-Sheng Wu","resource, evaluation",B,in-line citations,text,final response,citation,no,document,multiple,no,no,post-retrieval,zero-shot,no,no,summarization,SummHay,"Coverage Score, Citation Score, Joint Score"
Towards Verifiable Text Generation with Evolving Memory and Self-Reflection,"Despite the remarkable ability of large language models (LLMs) in language comprehension and generation, they often suffer from producing factually incorrect information, also known as hallucination. A promising solution to this issue is verifiable text generation, which prompts LLMs to generate content with citations for accuracy verification. However, verifiable text generation is non-trivial due to the focus-shifting phenomenon, the intricate reasoning needed to align the claim with correct citations, and the dilemma between the precision and breadth of retrieved documents. In this paper, we present VTG, an innovative framework for Verifiable Text Generation with evolving memory and self-reflection. VTG introduces evolving long short-term memory to retain both valuable documents and recent documents. A two-tier verifier equipped with an evidence finder is proposed to rethink and reflect on the relationship between the claim and citations. Furthermore, active retrieval and diverse query generation are utilized to enhance both the precision and breadth of the retrieved documents. We conduct extensive experiments on five datasets across three knowledge-intensive tasks and the results reveal that VTG significantly outperforms baselines.",2024,emnlp,ACL,https://aclanthology.org/2024.emnlp-main.469,"Hao Sun, Hengyi Cai, Bo Wang, Yingyan Hou, Xiaochi Wei, Shuaiqiang Wang, Yan Zhang, Dawei Yin",approach,B,in-line citations,text,final response,citation,verifiable text generation,paragraph,multiple,no,no,post-retrieval,zero-shot,no,no,question answering,"ELI5, ASQA, 2WikiMultiHopQA, NaturalQuestions, WebQuestions","EM, EM Recall, EM Precision, EM F1, Disambig-F1, DR Score, ROUGE-L, Claim Recall, Citation Precision NLI, Citation Recall NLI, Citation F1 NLI"
