dataset,benchmark,dataset task,source
FELM,no,fact verification,https://proceedings.neurips.cc/paper_files/paper/2023/file/8b8a7960d343e023a6a0afe37eee6022-Paper-Datasets_and_Benchmarks.pdf
FEVER,no,fact verification,https://aclanthology.org/N18-1074/
FLAN-V2,no,fine-tuning,https://dl.acm.org/doi/10.5555/3618408.3619349
FLenQA,no,question answering,https://aclanthology.org/2024.acl-long.818/
FetaQA,TabCite,question answering,https://aclanthology.org/2022.tacl-1.3/
FetaTab,VisDoMBench,question answering,https://arxiv.org/pdf/2412.10704
FineWeb-VISA,no,pretraining,https://arxiv.org/abs/2406.17557
FreshQA,RAG-RewardBench,question answering,https://arxiv.org/html/2504.13816v1
GPT-4 Alpaca,no,fine-tuning,https://arxiv.org/abs/2304.03277
GSM-Plus,no,question answering,https://aclanthology.org/2024.acl-long.163/
GSM8K,no,question answering,https://arxiv.org/abs/2110.14168
GenSearch-Verifiability,AttributionBench,question answering,https://aclanthology.org/2023.findings-emnlp.467/
GermanQuAD,no,question answering,https://arxiv.org/abs/2104.12741
Gilson-Health,no,evidence retrieval,https://arxiv.org/abs/2409.13902
GovReport,LAB,"summarization, question answering",https://aclanthology.org/2021.naacl-main.112/
GrailQA,no,question answering,https://dl.acm.org/doi/10.1145/3442381.3449992
GraphNarrative,no,graph-to-text generation,https://aclanthology.org/2023.emnlp-main.770/
Gu-CCSG,no,citation text generation,https://aclanthology.org/2024.sdp-1.4/
HAGRID,AttributionBench,question answering,https://arxiv.org/abs/2307.16883
HEx-PHI,no,jailbreak attack,https://huggingface.co/datasets/LLM-Tuning-Safety/HEx-PHI
HaluEval,no,fact verification,https://aclanthology.org/2023.emnlp-main.397/
HanFei,CitaLaw,question answering,https://github.com/siat-nlp/HanFei
HotpotQA,"MultiAttr, RAG-RewardBench",question answering,https://aclanthology.org/D18-1259/
IMDB62,no,grounded text generation,https://aclanthology.org/J14-2003/
JSQuAD,no,question answering,https://aclanthology.org/2022.lrec-1.317/
Jung-Medical,no,question answering,https://arxiv.org/abs/2409.15326
KenSwQuAD,no,question answering,https://arxiv.org/abs/2205.02364
KorQuAD,no,question answering,https://arxiv.org/abs/1909.07005
LJP-MSJudge,CitaLaw,question answering,https://github.com/irlab-sdu/fuzi.mingcha
LLM-AggreFact,no,summarization,https://aclanthology.org/2024.emnlp-main.499/
LLMRubric-Real,no,grounded text generation,https://aclanthology.org/2024.acl-long.745/
LLMRubric-Synthetic,no,grounded text generation,https://aclanthology.org/2024.acl-long.745/
LawBench,CitaLaw,question answering,https://github.com/open-compass/LawBench
LawGPT_zh,CitaLaw,question answering,https://github.com/LiuHC0428/LAW-GPT
LeCaRD,CitaLaw,question answering,https://github.com/ruc-wjyu/IOT-Match
Lee-Disaster-News,no,fine-tuning,https://arxiv.org/abs/2404.01361
LexEval,CitaLaw,question answering,https://github.com/CSHaitao/LexEval
LexiLaw,CitaLaw,question answering,https://github.com/myx666/LeCaRD
Li-Citation-Graph,no,related work generation,https://aclanthology.org/2025.coling-main.73/
Liu-LFQA,no,question answering,https://aclanthology.org/2024.acl-long.182/
Logical Deduction,no,question answering,https://openreview.net/forum?id=uyTL5Bvosj
LongBench-Cite,no,question answering,https://arxiv.org/abs/2409.02897
LongCite-45k,no,fine-tuning,https://arxiv.org/abs/2409.02897
Lost-in-the-middle,no,question answering,https://aclanthology.org/2024.acl-long.736/
M2QA,no,question answering,https://arxiv.org/abs/2407.01091
MASH-QA,no,question answering,https://aclanthology.org/2020.findings-emnlp.342/
MCG-S2ORC,no,citation text generation,http://link.springer.com/chapter/10.1007/978-3-031-49601-1_6
MIRACL,no,question answering,https://aclanthology.org/2023.tacl-1.63/
MISeD,no,grounded text generation,https://aclanthology.org/2024.findings-emnlp.106/
MISeD-Wizard-of-Oz,no,grounded text generation,https://aclanthology.org/2024.findings-emnlp.106.pdf
MLQA,no,question answering,https://aclanthology.org/2020.acl-main.653/
MMLU,no,question answering,https://openreview.net/forum?id=d7KBjmI3GmQ
MS MARCO,no,question answering,https://openreview.net/pdf?id=Hk1iOLcle
Magesh-LegalQA,no,question answering,https://arxiv.org/abs/2405.20362
MedMCQA,no,question answering,https://proceedings.mlr.press/v174/pal22a.html
Min-Biography,no,fact verification,https://aclanthology.org/2023.emnlp-main.741/
Mintaka,no,question answering,https://aclanthology.org/2022.coling-1.138/
MuSiQue,RAG-RewardBench,question answering,https://aclanthology.org/2022.tacl-1.31/
MuSiQue-Attribute,no,question answering,https://aclanthology.org/2024.acl-long.135/
Multi-Hop RAG News,no,question answering,https://arxiv.org/abs/2401.15391
Multi-XScience,no,summarization,https://aclanthology.org/2020.emnlp-main.648/
MultiArith,no,question answering,https://aclanthology.org/D15-1202/
MultifieldQA,RAG-RewardBench,question answering,https://aclanthology.org/2024.acl-long.172/
NarrativeQA,no,question answering,https://aclanthology.org/Q18-1023/
NaturalQuestions,"LAB, MultiAttr, RAG-RewardBench",question answering,https://aclanthology.org/Q19-1026/
NaturalQuestions-filtered,no,question answering,https://arxiv.org/abs/2203.11147
Open Assistant 1,no,fine-tuning,https://dl.acm.org/doi/10.5555/3666122.3668186
OpenBookQA,no,question answering,https://aclanthology.org/D18-1260/
Paper-VISA,no,question answering,https://ieeexplore.ieee.org/document/8977963
PaperTab,VisDoMBench,question answering,https://arxiv.org/abs/2412.10704
PersianQA,no,question answering,https://github.com/SajjjadAyobi/PersianQA
Pile of Law,no,text completion,https://openreview.net/forum?id=3HCT3xfNm9r
Pirá,no,question answering,https://arxiv.org/abs/2309.10945
PlanGTG,no,graph-to-text generation,https://aclanthology.org/2025.naacl-long.513/
PolitiCite,no,question answering,https://aclanthology.org/2024.naacl-long.216/
PopQA,RAG-RewardBench,question answering,https://aclanthology.org/2023.acl-long.546/
Pride-CORE,no,question answering,https://arxiv.org/abs/2307.04683
Privacy Dataset,RAG-RewardBench,question answering,https://aclanthology.org/2024.findings-acl.267/
PubHealth,no,fact verification,https://aclanthology.org/2020.emnlp-main.623/
PubMedQA,ScholarQABench,question answering,https://aclanthology.org/D19-1259/
PublicHealth QA,no,question answering,https://www.kaggle.com/datasets/xhlulu/covidqa
QAMPARI,"ALCE, Trust-Align",question answering,https://aclanthology.org/2023.gem-1.9/
QASA,ScholarQABench,question answering,https://proceedings.mlr.press/v202/lee23n.html
QASPER,LAB,question answering,https://aclanthology.org/2021.naacl-main.365
QMSum,no,summarization,https://aclanthology.org/2021.naacl-main.472.pdf
QMUL-VLE,no,question answering,https://ieeexplore.ieee.org/document/10628100
QReCC,no,question answering,https://aclanthology.org/2021.naacl-main.44/
Quoref,no,question answering,https://aclanthology.org/D19-1606/
QuoteSum,no,question answering,https://aclanthology.org/2024.naacl-long.74.pdf
REC-Data,no,fine-tuning,https://arxiv.org/abs/2411.02448
RefGPT-Fact,no,grounded text generation,https://arxiv.org/abs/2305.14994
RobustQA-Science,RAG-RewardBench,question answering,https://aclanthology.org/2023.findings-acl.263/
RobustQA-Technology,RAG-RewardBench,question answering,https://aclanthology.org/2023.findings-acl.263/
RollingEval,no,related work generation,https://arxiv.org/pdf/2412.15249
S2ORC,no,"evidence retrieval, citation text generation",https://aclanthology.org/2020.acl-main.447/
SK-QuAD,no,question answering,https://ieeexplore.ieee.org/document/10082887
SPIQA,VisDoMBench,question answering,https://proceedings.neurips.cc/paper_files/paper/2024/file/d74033a247989e8f6f3bf9e0c9629fb5-Paper-Datasets_and_Benchmarks_Track.pdf
SQAC,no,question answering,http://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/6405
SQuAD1.1,no,question answering,https://aclanthology.org/D16-1264/
STRoGeNS-arXiv22,no,related work generation,https://aclanthology.org/2024.sdp-1.5/
STRoGeNS-conf22,no,related work generation,https://aclanthology.org/2024.sdp-1.5/
STRoGeNS-conf23,no,related work generation,https://aclanthology.org/2024.sdp-1.5/
SVAMP,no,question answering,https://aclanthology.org/2021.naacl-main.168/
Sahinuç-ACLRelWork,no,citation text generation,https://aclanthology.org/2024.acl-long.265
SberQuAD,no,question answering,https://link.springer.com/chapter/10.1007/978-3-030-58219-7_1
ScholarQA-Bio,ScholarQABench,question answering,https://arxiv.org/abs/2411.14199
ScholarQA-CS,ScholarQABench,question answering,https://arxiv.org/abs/2411.14199
ScholarQA-Multi,ScholarQABench,question answering,https://arxiv.org/abs/2411.14199
ScholarQA-Neuro,ScholarQABench,question answering,https://arxiv.org/abs/2411.14199
SciDuet,no,grounded text generation,https://aclanthology.org/2021.naacl-main.111/
SciFact,ScholarQABench,question answering,https://aclanthology.org/2024.findings-acl.920/
SciGraphQA,VisDoMBench,question answering,https://arxiv.org/abs/2308.03349
ShareGPT,no,fine-tuning,https://huggingface.co/datasets/anon8231489123/ShareGPT_Vicuna_unfiltered/tree/main/HTML_cleaned_raw_dataset
Shetty-Risk-Summarization,no,summarization,https://dl.acm.org/doi/10.1145/3677052.3698669
SimpleQA,RAG-RewardBench,question answering,https://arxiv.org/abs/1506.02075
SingleEQ,no,question answering,https://aclanthology.org/Q15-1042/
SlideVQA,VisDoMBench,question answering,https://dl.acm.org/doi/10.1609/aaai.v37i11.26598
Slobodkin-MDS,no,summarization,https://aclanthology.org/2024.acl-long.18/
Soman-Test,no,question answering,https://arxiv.org/abs/2411.02657
Soman-Train,no,fine-tuning,https://arxiv.org/abs/2411.02657
Soybean,no,question answering,https://arxiv.org/abs/2412.15235
Stanford Alpaca,no,fine-tuning,https://github.com/tatsu-lab/stanford_alpaca
StrategyQA,no,question answering,https://doi.org/10.1162/tacl_a_00370
SummEval,no,summarization,https://doi.org/10.1162/tacl_a_00373
SummHay,no,summarization,https://aclanthology.org/2024.emnlp-main.552/
T-REx,no,training data attribution,https://aclanthology.org/L18-1544/
TEKGEN,no,graph-to-text generation,https://aclanthology.org/2021.naacl-main.278/
TQuad,no,question answering,https://github.com/TQuad/turkish-nlp-qa-dataset
Tahaei-MS-MARCO,no,question answering,https://aclanthology.org/2024.findings-naacl.277/
TopicalChat,"BEGIN, AttributionBench",grounded text generation,https://doi.org/10.21437/Interspeech.2019-3079
TottoQA,TabCite,question answering,https://aclanthology.org/2020.emnlp-main.89/
TriviaQA,RAG-RewardBench,question answering,https://aclanthology.org/P17-1147/
TruthfulQA,no,question answering,https://aclanthology.org/2022.acl-long.229/
TyDi,no,question answering,https://aclanthology.org/2020.tacl-1.30/
TyDi QA,no,question answering,https://aclanthology.org/2020.tacl-1.30/
Vassos-GreekPartyPrograms,no,question answering,https://dl.acm.org/doi/10.1145/3688671.3688784
Verifiability-granular,no,question answering,https://aclanthology.org/2024.findings-acl.682.pdf
Visual Riddles,no,question answering,https://neurips.cc//virtual/2024/poster/97561
Wealth-Alpace-Lora,no,question answering,https://huggingface.co/datasets/gbharti/wealth-alpaca_lora
WebCiteS,no,"question answering, summarization",https://aclanthology.org/2024.acl-long.806/
WebGLM-QA,no,question answering,https://dl.acm.org/doi/10.1145/3729421
WebNLG 2017,no,graph-to-text generation,https://aclanthology.org/P17-1017/
WebNLG 2020,no,graph-to-text generation,https://aclanthology.org/2020.webnlg-1.7/
WebQSP,no,question answering,https://aclanthology.org/P16-2033/
WebQuestions,no,question answering,https://aclanthology.org/D13-1160/
Wheat,no,question answering,https://arxiv.org/abs/2412.15235
Wice,LAB,fact verification,https://aclanthology.org/2023.emnlp-main.470/
Wiki-VISA,no,question answering,https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00276/43518/Natural-Questions-A-Benchmark-for-Question
WikiBio GPT-3,no,"fact verification, grounded text generation",https://aclanthology.org/2023.emnlp-main.557/
WikiGenBench,no,grounded text generation,https://aclanthology.org/2025.coling-main.349/
WikiRetr-GPT3,no,evidence retrieval,https://aclanthology.org/2024.acl-long.79/
WikiRetr-GPT4,no,evidence retrieval,https://aclanthology.org/2024.acl-long.79/
WikiText-103,no,"text completion, pretraining",https://openreview.net/forum?id=Byj72udxe
Wish-QA ELI5/ASQA,no,question answering,https://openreview.net/forum?id=RjYKTQ0L0W&noteId=2Fsx5TMEu4
Wizard of Wikipedia,"BEGIN, AttributionBench",grounded text generation,https://openreview.net/forum?id=r1l73iRqKm
XOR-AttriQA,no,question answering,https://aclanthology.org/2023.emnlp-main.10/
XQuAD,no,question answering,https://arxiv.org/abs/1910.11856
XStest,RAG-RewardBench,question answering,https://aclanthology.org/2024.naacl-long.301.pdf
Xia-WebGLM-QA,no,question answering,https://arxiv.org/pdf/2407.01796
Xiao-Quotation,no,quotation generation,https://arxiv.org/abs/2411.03675
Xing-PolitiHop,no,fact verification,https://arxiv.org/abs/2406.12645
Xue-Finance,no,evidence retrieval,https://arxiv.org/abs/2308.05361
Xue-Finance-QA,no,question answering,https://arxiv.org/abs/2308.05361
Xue-Finance-QP,no,evidence retrieval,https://arxiv.org/abs/2308.05361
Zhang-Citation-Graph-Computer-Science,no,"related work generation, title generation, summarization, citation recommendation, citation link prediction, citation text generation",https://arxiv.org/abs/2409.12177
Zhang-Citation-Graph-Medicine,no,"related work generation, title generation, summarization, citation recommendation, citation link prediction, citation text generation",https://arxiv.org/abs/2409.12177
Zhang-Citation-Graph-Physics,no,"related work generation, title generation, summarization, citation recommendation, citation link prediction, citation text generation",https://arxiv.org/abs/2409.12177
chaii-1,no,question answering,https://www.kaggle.com/competitions/chaii-hindi-and-tamil-question-answering
