metric name,metric abbreviation,framework,evaluation method,evaluation dimension,decription,source
BLEURT,BLEURT,BEGIN,semantic similarity-based,attribution,BLEURT predicts human-like judgements for factuality.,https://aclanthology.org/2020.acl-main.704/
Q2,Q2,BEGIN,question-based,attribution,"Q2 evaluates factuality by generating questions from a candidate response, retrieving supporting answer spans from a knowledge source, and scoring the alignment using question answering and NLI-inspired similarity measures.",https://aclanthology.org/2021.emnlp-main.619/
Citation Precision NLI,Citation Precision NLI,"BEGIN, ALCE, ScholarQABench, CiteKit",inference-based,attribution,"Using NLI-based models to classify the responses in either attributable, unattributable or generic. Citation Precision NLI calculates the classification precision.","https://aclanthology.org/2023.emnlp-main.398, https://aclanthology.org/2022.tacl-1.62/"
Citation Recall NLI,Citation Recall NLI,"BEGIN, ALCE, ScholarQABench, CiteKit",inference-based,attribution,"Using NLI-based models to classify the responses in either attributable, unattributable or generic. Citation Recall NLI calculates the classification recall.","https://aclanthology.org/2023.emnlp-main.398, https://aclanthology.org/2022.tacl-1.62/"
Citation F1 NLI,Citation F1 NLI,"BEGIN, ScholarQABench",inference-based,attribution,"Using NLI-based models to classify the responses in either attributable, unattributable or generic. Citation F1 NLI calculates the harmonic mean between Citation Precision NLI and Citation Recall NLI.",https://aclanthology.org/2022.tacl-1.62/
F1-AttrScore,F1-AttrScore,,inference-based,attribution,"F1-Score for classification of response into attributable, contradictory and extrapolatory",https://aclanthology.org/2023.findings-emnlp.307/
No-Attribution,No-Att,,inference-based,attribution,No-Att shows the percentage of generated sentences lacking any attribution.,https://aclanthology.org/2024.acl-long.182/
Fluency-5,Fluency-5,,human evaluation,linguistic,5-class human evaluation of fluency. 0 (lowest fluency) - 5 (highest fluency),"https://aclanthology.org/2024.acl-long.182/, https://aclanthology.org/2025.coling-main.73/"
Helpfulness-5,Helpfulness-5,,human evaluation,relevance,5-class human evaluation of helpfulness. 0 (lowest helpfulness) - 5 (highest helpfulness),https://aclanthology.org/2024.acl-long.182/
Summary Consistency,SummaC,,inference-based,attribution,SummaC enables NLI models to be successfully used for inconsistency detection in summarization by segmenting documents into sentence units and aggregating scores between pairs of sentences.,https://aclanthology.org/2022.tacl-1.10/
Refusal Recall,Refusal Recall,,lexical overlap,correctness,Refusal Recall quantifies the ability of LLMs to appropriately decline unanswerable questions,https://aclanthology.org/2024.emnlp-demo.10/
MAUVE,MAUVE,"ALCE, CitaLaw, ALiiCE, CiteKit",semantic similarity-based,linguistic,MAUVE is used to evaluate whether the model’s generated text is fluent and coherent.,https://openreview.net/forum?id=Tqx7nJp7PR
Exact Match Recall,EM Recall,"ALCE, ALiiCE, CiteKit",lexical overlap,correctness,the recall of correct short answers by checking whether the short answers (provided by the dataset) are exact substrings of the generation,https://aclanthology.org/2023.emnlp-main.398/
Exact Match Precision,EM Precision,ALCE,lexical overlap,correctness,"precision of the model prediction, by checking the exact match to the gold answer list",https://aclanthology.org/2023.emnlp-main.398/
Exact Match F1,EM F1,,lexical overlap,correctness,EM F1 score is the harmonic mean of EM precision and EM recall,https://aclanthology.org/2024.emnlp-main.463/
Exact Match,EM,ScholarQABench,lexical overlap,correctness,EM (Accuracy) measures the percentage of predictions that match any one of the ground truth answers exactly.,https://aclanthology.org/D16-1264/
Claim Recall,Claim Recall,ALCE,inference-based,correctness,Usage of the TRUE NLI model to check whether the model output entails ground truth/gold claims,https://aclanthology.org/2023.emnlp-main.398/
Area under the Precision-Recall Curve,AUC-PR,,inference-based,correctness,Classify response into factual and nonfactual. Evaluate with AUC-PR score.,https://aclanthology.org/2024.acl-long.79/
Correctness-Accuracy,Corr-Acc,,inference-based,correctness,Classify response into factual and nonfactual. Evaluate (balanced) accuracy of classification results,https://aclanthology.org/2024.acl-long.79/
Mean Reciprocal Rank,MRR,QUILL,retrieval-based,retrieval,Mean Reciprocal Rank (MRR) is a metric that measures the effectiveness of a ranking system by focusing on the position of the first relevant result in the ranked list returned by the model. It provides insight into how efficiently a system retrieves the top relevant item for a query.,https://aclanthology.org/L02-1301/
Recall@k,Recall@k,,retrieval-based,"retrieval, attribution",How many of the correct items were found in the top k results ,"https://aclanthology.org/2024.acl-long.79/, https://aclanthology.org/2024.emnlp-main.985/"
Precision@k,Precision@k,,retrieval-based,"retrieval, attribution",Precision of retrieved evidence that can be attributed to a generated text (post-generation),https://aclanthology.org/2024.emnlp-main.985/
F1@k,F1@k,,retrieval-based,"retrieval, attribution",Harmonic mean of Recall@k and Precision@k,https://aclanthology.org/2024.emnlp-main.985/
Claim Precision,Claim Precision,,inference-based,correctness,Extract all sub-claims from the system response and calculate the fraction of them being entailed by the reference document,https://aclanthology.org/2024.acl-long.806/
Claim F1,Claim F1,,inference-based,correctness,Harmonic mean of Claim Recall and Claim Precision,https://aclanthology.org/2024.acl-long.806/
Citation Precision Retrieval,Citation Precision Retrieval,RAGE,retrieval-based,citation,"This metric measures if the sentence is correctly supported by each of its citations,  given a gold standard.","https://aclanthology.org/2024.acl-long.806/, https://aclanthology.org/2023.findings-emnlp.467/"
Citation Recall Retrieval,Citation Recall Retrieval,RAGE,retrieval-based,citation,"This metric measures if the sentence comprehensively cites all supporting sources, given a gold standard.","https://aclanthology.org/2024.acl-long.806/, https://aclanthology.org/2023.findings-emnlp.467/"
Citation F1 Retrieval,Citation F1 Retrieval,RAGE,retrieval-based,citation,Harmonic mean of Citation Recall Retrieval and Citation Precison Retrieval,"https://aclanthology.org/2024.acl-long.806/, https://aclanthology.org/2023.findings-emnlp.467/"
Citation Accuracy Retrieval,Citation Accuracy Retrieval,,retrieval-based,citation,Percentage of predicted attributions compared directly against the gold citations,https://aclanthology.org/2024.naacl-long.216/
Attributable to contextual sources,ACS,,human evaluation,attribution,A variant of the AIS score that uses oracle citations from the evaluator rather than the model-generated citations for evaluation.,https://aclanthology.org/2024.acl-long.806/
Hits@k,Hits@k,QUILL,retrieval-based,correctness,"Each question receives a score of 1 if the target answer is present within the predicted LLM answer, and 0 otherwise.",https://aclanthology.org/2024.acl-long.764/
Answer Span,Answer Span,,human evaluation,preservation,Answer Span measures what proportion of the quote is used verbatim by the LLM Answer Composer,https://aclanthology.org/2024.acl-long.764/
Self-Containment,Self-Containment,,human evaluation,attribution,Self-Containment measures whether the answer in the quote is complete or truncated,https://aclanthology.org/2024.acl-long.764/
Pertinence,Pertinence,,human evaluation,retrieval,Pertinence measures how relevant the quote is to the query and whether it is able to answer the query (annotated on a scale of 0 − 3).,https://aclanthology.org/2024.acl-long.764/
Grounding Sources,Grounding Sources,LLM-Rubric,llm-as-a-judge,attribution,"If the references are provided, to what degree user’s questions can be answered or resolved using the references? Score between 1 (best) and 4 (worst) are predicted using an LLM. The approach is evaluated using Root Mean Squared Error (RMSE) to compare LLM scores with score from human evaluation.",https://aclanthology.org/2024.acl-long.745/
Citation Presence,Citation Presence,LLM-Rubric,llm-as-a-judge,citation,"Independent of what sources are cited in the conversation, to what degree the claims made by the assistant are followed by a citation. Score between 1 (best) and 4 (worst) are predicted using an LLM. The approach is evaluated using Root Mean Squared Error (RMSE) to compare LLM scores with score from human evaluation.",https://aclanthology.org/2024.acl-long.745/
Citation Suitability,Citation Suitability,LLM-Rubric,llm-as-a-judge,citation,What percentage of citations accurately support the claims made in the conversation? Score between 1 (best) and 4 (worst) are predicted using an LLM. The approach is evaluated using Root Mean Squared Error (RMSE) to compare LLM scores with score from human evaluation.,https://aclanthology.org/2024.acl-long.745/
Citation Optimality,Citation Optimality,LLM-Rubric,llm-as-a-judge,citation,To what degree the cited sources are the best candidates among all the provided sources? Score between 1 (best) and 4 (worst) are predicted using an LLM. The approach is evaluated using Root Mean Squared Error (RMSE) to compare LLM scores with score from human evaluation.,https://aclanthology.org/2024.acl-long.745/
Answer Accuracy@k,Acc_K,,lexical overlap,correctness,"This metric measures the ability to produce a diverse set of correct answers, with a focus on generating at least K of the gold answers.",https://aclanthology.org/2024.emnlp-main.956/
Citation Accuracy,A_C,,lexical overlap,citation,This metric assesses the ability to accurately generate citation strings corresponding to the correct sources.,https://aclanthology.org/2024.emnlp-main.956/
Coverage Score,Coverage Score,,llm-as-a-judge,correctness,Measures the overlap between the generated summary and the insights in the reference documents,https://aclanthology.org/2024.emnlp-main.552/
Citation Score,Citation Score,,lexical overlap,citation,Measures the precision and recall between the generated and gold-standard citations.,https://aclanthology.org/2024.emnlp-main.552/
Joint Score,Joint Score,,"lexical overlap, llm-as-a-judge","correctness, citation","This pieces the Coverage and Citation Scores together, measuring whether a candidate summary both covers the expected insights and cites documents appropriately",https://aclanthology.org/2024.emnlp-main.552/
Classification Macro F1,CF1,,retrieval-based,correctness,F1 score of NLI classification models for evidence classification,https://aclanthology.org/2024.emnlp-main.463/
Evidence F1,Evidence F1,,retrieval-based,attribution,F1 score comparing the predicted evidence with annotated ground truth evidence,https://aclanthology.org/2024.emnlp-main.463/
Unanswerable F1,UF1,,retrieval-based,correctness,F1 score regarding answers that are not answerable with the provided evidence,https://aclanthology.org/2024.emnlp-main.463/
Answer Attribution Agreement,AAA,,inference-based,attribution,Agreement (in %) between human attribution scores using AIS and an ML attribution approach on the same dataset,https://aclanthology.org/2024.emnlp-main.347/
Comprehensiveness 5class,Comp-5,,human evaluation,,"Annotators are asked to rate both comprehensiveness using a 5-point Likert scale, capturing different levels of content coverage.",https://aclanthology.org/2024.emnlp-main.223/
Correctness 5class,Corr-5,,human evaluation,correctness,"Annotators are asked to rate both correctness using a 5-point Likert scale, capturing different levels of content factuality.",https://aclanthology.org/2024.emnlp-main.223/
Disambig-FActScore,D-FActScore,,inference-based,attribution,"D-FActScore is an improved version of FActScore, which better handles entity ambiguity. Unlike FActScore, which checks each fact independently, D-FActScore groups related facts that could be interpreted as referring to the same entity by a reader without prior knowledge. D-FActScore uses entity linking to find the best-matching entity in a knowledge base for each group and verifies all facts in the group using that entity.",https://aclanthology.org/2024.findings-acl.160/
G-Eval Coherence,G-Eval Coherence,G-Eval,llm-as-a-judge,linguistic,Whether the generated text is well-structured and well-organized,https://aclanthology.org/2023.emnlp-main.153/
G-Eval Consistency,G-Eval Consistency,G-Eval,llm-as-a-judge,attribution,Whether the generated text is consistent with the knowledge provided,https://aclanthology.org/2023.emnlp-main.153/
G-Eval Fluency,G-Eval Fluency,G-Eval,llm-as-a-judge,linguistic,Whether the generated text is well-written and grammatical,https://aclanthology.org/2023.emnlp-main.153/
G-Eval Relevance,G-Eval Relevance,G-Eval,llm-as-a-judge,relevance,How well is the generated text relevant to the question,https://aclanthology.org/2023.emnlp-main.153/
Citation Correctness,Citation Correctness,,retrieval-based,citation,"If the generated citation is complete with all three parts, and exactly matches a triplet from the question’s retrieved KG, correctness = 1.",https://aclanthology.org/2024.findings-acl.28/
Fluency-2,Fluency-2,,human evaluation,linguistic,"The metric evaluates the text fluency using human evaluation (1: fluent, 0: not fluent)",https://aclanthology.org/2024.findings-naacl.277/
Informativeness-2,Informativeness-2,,human evaluation,correctness,"The metric evaluates the extent to which a generated answer answers the question. For each segment, if it responds at least partially to the query, we consider it informative and assign a score of 1; otherwise, it is given a score of 0.",https://aclanthology.org/2024.findings-naacl.277/
Supportedness-2,Supportedness-2,,human evaluation,attribution,"This metric measures whether factual claims in the generated segment can be supported by corresponding quotes. If a cited quote supports the information appearing in the segment it is considered correct. The final score, between 0 and 1, is calculated by dividing the number of correctly cited passages by the total number of passages cited in the segment. If the segment does not cite any passage, it is scored as 0.",https://aclanthology.org/2024.findings-naacl.277/
citation density,citation density,,lexical overlap,citation,the average number of citations in each output sentence,https://aclanthology.org/2024.findings-acl.920/
Disambig-F1,Disambig-F1,,lexical overlap,correctness,Evaluates the fraction of disambiguated questions that can be answered from the predicted long answers,https://aclanthology.org/2022.emnlp-main.566
Disambiguation-Rouge Score/ Combined Score,DR Score,,lexical overlap,"correctness, attribution",Combine ROUGE-L and disambiguation score (Disambig-F1),https://aclanthology.org/2022.emnlp-main.566 
Accuracy NLI,Accuracy NLI,,inference-based,correctness,"The NLI model, evaluates hallucination by predicting whether two texts are factually consistent.","https://huggingface.co/vectara/hallucination_evaluation_model, https://aclanthology.org/2024.naacl-long.167"
DOC-F1,DOC-F1,,retrieval-based,attribution,Check whether the passage(s) cited by the model match the ones cited in the gold reference.,https://aclanthology.org/2024.findings-emnlp.13.pdf
Correct Span Citation Attribution,CSCA,,lexical overlap,attribution,CSCA indicates whether a predicted span is a direct span from the attributed passage.,https://aclanthology.org/2024.findings-emnlp.13.pdf
Distinct Citations,Distinct Citations,RAGE,retrieval-based,citation,Distinct Citations counts the unique citations within the response.,https://aclanthology.org/2024.konvens-main.6/
factual consistency checking model,FactCC,,inference-based,attribution,FactCC is a BERT-based model to verify whether a generated text is faithful to a source text.,https://aclanthology.org/2020.emnlp-main.750/
AlignScore,AlignScore,,inference-based,attribution,AlignScore is a holistic metric to evaluate the factual consistency of generated text to input information.,https://aclanthology.org/2023.acl-long.634/
Discrete LLM-scoring,Discrete LLM-scoring,,llm-as-a-judge,attribution,"Discrete scoring prompts the LLM to assign discrete scores from the set 0, 1, 2 for a given statement and its citation, where
0, 1, and 2 indicate no support, partial support, and full support, respectively",https://aclanthology.org/2024.inlg-main.35/
Continuous LLM-scoring,Continuous LLM-scoring,,llm-as-a-judge,attribution,"Continuous scoring prompts the LLM to assign continuous scores in the range [0, 1] for a given statement and its citation. Here, 1 indicates full support, 0 indicates no support, and values between 0 and 1 indicate partial support.",https://aclanthology.org/2024.inlg-main.35/
Title Accuracy,Title Accuracy,,retrieval-based,citation,Title Accuracy is the percentage of citations recommended by the model that had real paper titles,https://aclanthology.org/2024.hcinlp-1.3/
Author Precision,Author Precision,,retrieval-based,citation,The percentage of authors listed in the model-generated citation who actually appear in the real paper.,https://aclanthology.org/2024.hcinlp-1.3/
Author Recall,Author Recall,,retrieval-based,citation,The percentage of real paper authors that the model correctly included in its generated citation.,https://aclanthology.org/2024.hcinlp-1.3/
Year Accuracy,Year Accuracy,,retrieval-based,citation,"Year Accuracy was calculated by taking the absolute value of the year a real paper was published, minus the year in the model-recommended citation.",https://aclanthology.org/2024.hcinlp-1.3/
Title Relevance,Title Relevance,,retrieval-based,citation,Percent of model-cited papers that are actually cited in the target paper.,https://aclanthology.org/2024.hcinlp-1.3/
Real Author Relevance,Real Author Relevance,,retrieval-based,citation,Percent of cited authors who truly wrote the paper and are also cited in the target paper.,https://aclanthology.org/2024.hcinlp-1.3/
False Author Relevance,False Author Relevance,,retrieval-based,citation,"Percent of cited authors who didn’t write the paper, but are cited elsewhere in the target paper.",https://aclanthology.org/2024.hcinlp-1.3/
F1 Citation Structure,F1 Citation Structure,,retrieval-based,citation,Structure metrics based on whether the citation trends in the paragraph are similar to the citation trends in the gold standard section. The F1 measures the citation similarity among most similar paragraphs of the gold standard and generated text.,https://aclanthology.org/2024.sdp-1.5/
Adjusted Rand Index,ARI,,structure-based,citation,ARI is a clustering metric to evaluate citation trends of low-similarity paragraphs. Paragraphs in original and generated sections are treated as clusters. ARI evaluates how similar these clusters are in terms of citation distribution.,https://psycnet.apa.org/doiLanding?doi=10.1037%2F1082-989X.9.3.386
Adjusted Rand Index',ARI',,structure-based,citation,ARI' is a modification of ARI to handle unmatched citations that arise due to the multi-paragraph use of citations.,https://aclanthology.org/2024.sdp-1.5/
Mean Absolute Error in Paragraphs,MAEp,,structure-based,citation,Structure metrics based on whether the citation trends in the paragraph are similar to the citation trends in the gold standard section. Measures the average absolute difference in the number of paragraphs between the reference and generated sections.,https://aclanthology.org/2023.emnlp-main.153/
G-Eval-Novelty,G-Eval-Novelty,,semantic similarity-based,novelty,G-Eval-Novelty evaluates whether generated text contains a novelty statement by leveraging prompt-based large language models (LLMs). It combines chain-of-thought (CoT) prompting with a form-filling paradigm to guide the LLM in producing structured evaluation outputs. G-Eval consists of two steps: evaluation step generation and score prediction.,https://aclanthology.org/2023.emnlp-main.153/
Coverage-SBERT,Coverage-SBERT,,semantic similarity-based,attribution,"Coverage: This is an unsupervised metric that intuitively captures the “coverage” of the content
of a superset in a subset. For this task, we define Coverage (paragraph / sentence levels) to be the average cosine similarity of a slide (bullet point) from the presentation and a
paragraph (sentence) from the document based on their sentence embeddings (Reimers and Gurevych, 2019). Clearly, more is the Coverage, better is the quality.",https://aclanthology.org/2024.findings-emnlp.936/
Keyword Recall,KR,,lexical overlap,citation,"Summarize in 1-2 sentences: KR is a metric that assesses the presence of provided keywords in the generated citation sentence. A higher value signifies that the generated sentence includes the given keywords, indicating good control over keyword incorporation. Given a generated citation sentence S, the keyword recall KR(S) is calculated using ROUGE-L recall to compare the keyword attribute (or a concatenated string of multiple keywords, if applicable) with S.",https://aclanthology.org/2024.sdp-1.4/
Intent Alignment Score,IAS,,llm-as-a-judge,citation,"IAS evaluates the alignment between the generated citation sentence and the specified citation intent. Suppose the control intent is i (one of three possible intents: ‘background’, ‘method’, and ‘result’) and LM generates a citation sentence.",https://aclanthology.org/2024.sdp-1.4/
Fluency Score,FS,,llm-as-a-judge,linguistic,FS evaluates how naturally and fluently a generated sentence incorporates keywords by normalizing a SLOR-based language model score using a sigmoid function with an offset to enhance score differentiation.,
METEOR,METEOR,,lexical overlap,attribution,METEOR is an automatic metric for machine translation evaluation that is based on a generalized concept of unigram matching between the machine-produced translation and human-produced reference translations.,https://aclanthology.org/W05-0909/
Citation Rate,Citation Rate,,inference-based,attribution,"To rectify the influence of sentence length, Citation Rate is the weighted average of each sentence’s Citation Recall, with the weights being the number of words in the sentences",https://aclanthology.org/2025.coling-main.349/
Focus Score,Focus Score,,llm-as-a-judge,correctness,The Focus Score examines whether a generated article remains on topic and maintains a clear focus.,https://aclanthology.org/2024.naacl-long.347/
Coverage Score,Coverage Score,,llm-as-a-judge,correctness,The Coverage Score determines if a generated article provides an in-depth exploration of a topic,https://aclanthology.org/2024.naacl-long.347/
Outline Score,Outline Score,,llm-as-a-judge,linguistic,Outline Score checks section heading quality of generated text,https://aclanthology.org/2025.coling-main.349/
Organization Score,Organization Score,,llm-as-a-judge,linguistic,Organization Score evaluates structure and logical connections of generated text,https://aclanthology.org/2025.coling-main.349/
QAFactEval,QAFactEval,,question-based,correctness,"QAFactEval quantifies factual consistency by generating questions from summary statements, answering them using the source document, and measuring the semantic overlap between the generated answers and the original summary content.",https://aclanthology.org/2022.naacl-main.187/
Sem-Rec,Sem-Rec,,lexical overlap,"correctness, attribution",Recall of correct answers/aspects attributed to correct sources.,
Sem-F1,Sem-F1,,lexical overlap,attribution,"Token-F1 of spans attributed to a source vs. gold spans, per source.",https://aclanthology.org/2024.naacl-long.74/
SEMQA Score,SEMQA Score,,"lexical overlap, retrieval-based","attribution, linguistic",Combine ROUGE-L and Sem-F1 score,https://aclanthology.org/2024.naacl-long.74/
Passage-grounded Correctness ,Passage-grounded Correctness,,lexical overlap,correctness,Measures whether atomic units of information from gold answers appear in the generated answers and whether this information is supported by the retrieved passages. Eliminates to score responses that are correct but not grounded in retrieved passages.,https://aclanthology.org/2024.acl-long.641/
Accuracy QA,Accuracy QA,,lexical overlap,correctness,Accuracy measuring question answering performance.,https://aclanthology.org/2025.coling-main.157/
Performance Drop Rate,PDR,,inference-based,preservation,PDR measures the reduction in a model’s performance when it is presented with perturbed questions relative to the performance on the original questions (lower is better).,https://aclanthology.org/2024.acl-long.163/
Accurately Solved Pairs,ASP,,inference-based,correctness,ASP serves as a metric to evaluate the percentage of cases in which the model successfully addresses both the original question and its perturbed version (higher is better).,https://aclanthology.org/2024.acl-long.163/
Organization-Coherence-5,Organization-Coherence-5,,human evaluation,linguistic,5-class human evaluation of organization and coherence. 0 (lowest) - 5 (highest),https://aclanthology.org/2025.coling-main.73/
Relevance-Target-Paper-5,Relevance-Target-Paper-5,,human evaluation,relevance,5-class human evaluation of relevance to the target paper. 0 (lowest) - 5 (highest),https://aclanthology.org/2025.coling-main.73/
Relevance-Cited-Papers-5,Relevance-Cited-Papers-5,,human evaluation,relevance,5-class human evaluation of relevance to the cited papers. 0 (lowest) - 5 (highest),https://aclanthology.org/2025.coling-main.73/
Facuality-5,Facuality-5,,human evaluation,correctness,5-class human evaluation of factuality. 0 (lowest) - 5 (highest),https://aclanthology.org/2025.coling-main.73/
Usefulness-Informativeness-5,Usefulness-Informativeness-5,,human evaluation,relevance,5-class human evaluation of usefulness and informativeness. 0 (lowest) - 5 (highest),https://aclanthology.org/2025.coling-main.73/
Writing-Style-5,Writing-Style-5,,human evaluation,linguistic,5-class human evaluation of the writing style. 0 (lowest) - 5 (highest),https://aclanthology.org/2025.coling-main.73/
Overall-Quality-5,Overall-Quality-5,,human evaluation,"linguistic, relevance, correctness","5-class human evaluation to get a overall score. Summarizing Organization-Coherence-5, Fluency-5, Relevance-Target-Paper-5, Relevance-Cited-Paper-5, Factuality-5, Usefulness-Informativeness-5 and Writing-Style-5. 0 (lowest) - 5 (highest)",https://aclanthology.org/2025.coling-main.73/
Rep-n,Rep-n,,lexical overlap,linguistic,Reflects the repetition at different n-gram levels in the generated text,https://arxiv.org/abs/1908.04319
Diversity,Diversity,,lexical overlap,linguistic,Evaluates the variety of generated content,https://arxiv.org/abs/1908.04319
Perplexity,Perplexity,,inference-based,linguistic,Perplexity is a measure of the uncertainty or difficulty in predicting the next word in a sequence. A lower perplexity score indicates that the model is more certain about its predictions.,https://aclanthology.org/2021.naacl-main.337/
"Answer-Correctness-3,",Answer-Correctness-3,,human evaluation,correctness,"Was the answer provided correct? Specifically, does the answer provided by ChatGPT align with the ground truth answer? Options: “Yes, fully”, “Only partially”, “No (or no to a large extent)”.",https://dl.acm.org/doi/10.1145/3624918.3625329
References-Provision-2,References-Provision-2,,human evaluation,citation,Are references provided in the answer? This was a binary ques- tion (yes/no).,https://dl.acm.org/doi/10.1145/3624918.3625329
Reference-Existence-2,Reference-Existence-2,,human evaluation,citation,"For each reference, does it actually exist? For a journal refer- ence, does the paper with that title exist? Does the suggested Wikipedia article exist? Options: “Yes”, “No”",https://dl.acm.org/doi/10.1145/3624918.3625329
URL-Provision-2,URL-Provision-2,,human evaluation,citation,"Is a URL provided with the references that actually points to mentioned source? Options: “Yes”, “No”.",https://dl.acm.org/doi/10.1145/3624918.3625329
Attribution-3,Attribution-3,,human evaluation,attribution,"Does the statement about the reference in ChatGPT’s answer align with the actual reference content? Options: “Yes, fully”, “Only partially”, “No (or no to a large extent)”.",https://dl.acm.org/doi/10.1145/3624918.3625329
Paragraph Count,Paragraph Count,,structure-based,linguistic,Count of the generated paragraphs to check if the LLM follows the instructions,https://aclanthology.org/2024.acl-long.265/
Citation Mark Percentage,Citation Mark Percentage,,structure-based,citation,Percentage of utilization of citation mark in generated citation texts to check if the LLM follows the instructions,https://aclanthology.org/2024.acl-long.265/
N-Gram Overlap,N-Gram Overlap,,lexical overlap,preservation,The n-gram overlap between the input and the model output to check whether the model copies from the prompt.,https://aclanthology.org/2024.acl-long.265/
Query Correctness Rate,Query Correctness Rate,,human evaluation,correctness,Percentage of the RAG queries that retrieved the correct document and returned a correct answer,https://dl.acm.org/doi/10.1145/3688671.3688784
Citation Overlap Precision,Citation Overlap Precision,,retrieval-based,attribution,evaluation of citation attributability by computing for each query the overlap between the gold citations C𝑔𝑜𝑙𝑑 and the whole citations in the generated answer C𝑔𝑒𝑛. ,https://dl.acm.org/doi/10.1145/3627673.3679172
Citation Overlap Recall,Citation Overlap Recall,,retrieval-based,attribution,evaluation of citation attributability by computing for each query the overlap between the gold citations C𝑔𝑜𝑙𝑑 and the whole citations in the generated answer C𝑔𝑒𝑛. ,https://dl.acm.org/doi/10.1145/3627673.3679172
Answer Correctness F1,F1AC,Trust-Score,retrieval-based,correctness,F1AC serves as a comprehensive measure of how well the LLM grounds its claims on the document.,https://iclr.cc//virtual/2025/poster/30139
